Date,Open,High,Low,Close,Volume
2023-03-13,83200,84700,82400,84300,2860341
2023-03-14,82600,83000,81100,81100,3359381
2023-03-15,81900,82300,78800,79100,5357314
2023-03-16,76700,80200,76700,79000,4804196
2023-03-17,81200,84800,81100,84000,6239588
2023-03-20,83800,85100,83000,83700,2223378
2023-03-21,84100,85100,82900,83600,1880231
2023-03-22,85200,87300,83800,86900,2667268
2023-03-23,85400,88500,85100,88500,3091673
2023-03-24,89100,90700,86700,87300,4670908
2023-03-27,87500,87800,84700,85500,3211190
2023-03-28,85300,88700,85200,88400,3180431
2023-03-29,87400,88700,86500,86900,3070422
2023-03-30,89900,90500,87700,88800,4264354
2023-03-31,89200,89500,87600,88600,2676327
2023-04-03,89700,89700,86600,87200,2502220
2023-04-04,85700,85900,83700,84500,16808036
2023-04-05,84300,85700,84100,84600,4380498
2023-04-06,83900,84700,82700,83800,5379170
2023-04-07,87900,89400,86000,89100,10867359
2023-04-10,88700,92500,88500,90700,5387514
2023-04-11,90700,92200,89900,91800,5001836
2023-04-12,91900,92000,89700,90300,4751001
2023-04-13,89500,90300,88200,88700,4907552
2023-04-14,90100,90300,88600,89300,2324722
2023-04-17,89000,89000,87700,88500,1877825
2023-04-18,89300,89300,87300,87600,1763334
2023-04-19,88000,88500,86600,88200,2024519
2023-04-20,86600,88400,86200,87700,1746001
2023-04-21,87700,89800,87200,89100,2624982
2023-04-24,88100,88800,87000,87200,2054455
2023-04-25,87500,87800,83700,85500,4096411
2023-04-26,86400,88700,86200,87400,3240654
2023-04-27,87900,89200,86000,88800,2980163
2023-04-28,90800,91400,88700,89500,3737493
2023-05-02,90900,90900,88900,90200,2427349
2023-05-03,89000,90300,88600,89800,1779615
2023-05-04,88900,89600,87500,88700,1794303
2023-05-08,89700,90000,87700,88700,2615242
2023-05-09,88400,88600,86700,87300,2297473
2023-05-10,87200,87700,86300,86900,2137658
2023-05-11,86900,87300,85000,86300,2806299
