Date,Open,High,Low,Close,Volume
2022-07-07,35274.12109,39600,39900,38450,267620
2022-07-08,35318.66016,39650,40300,39650,135373
2022-07-11,35274.12109,39600,40100,39350,141612
2022-07-12,34606.05078,38850,39700,38450,187872
2022-07-13,34917.81641,39200,39750,38300,240749
2022-07-14,34873.27734,39150,39850,38800,216922
2022-07-15,34472.4375,38700,39750,38150,245052
2022-07-18,35185.04297,39500,39600,38600,229419
2022-07-19,35496.8125,39850,40050,39450,121859
2022-07-20,35808.57813,40200,40400,39900,123559
2022-07-21,36343.03516,40800,40850,39700,195377
2022-07-22,35764.03906,40150,40550,39700,140610
2022-07-25,36253.95703,40700,40850,40000,152454
2022-07-26,36253.95703,40700,40950,40450,99949
2022-07-27,36654.80078,41150,41200,40500,160665
2022-07-28,36743.875,41250,41450,40900,119368
2022-07-29,37100.17969,41650,41800,41150,230159
2022-08-01,36387.57031,40850,41700,40650,89320
2022-08-02,36610.26172,41100,41250,40400,165210
2022-08-03,36387.57031,40850,41300,40250,123525
2022-08-04,35986.72656,40400,40850,40150,140052
2022-08-05,36120.34375,40550,40750,40000,156197
2022-08-08,36387.57031,40850,40850,40250,106479
2022-08-09,36832.95313,41350,41450,40700,115491
2022-08-10,37055.64453,41600,42100,41100,225430
2022-08-11,37946.40234,42600,43350,41700,289466
2022-08-12,38748.08594,43500,43550,42700,160908
2022-08-16,39015.31641,43800,43800,43050,181043
2022-08-17,38970.77734,43750,44050,43200,146875
2022-08-18,39371.61719,44200,44550,43250,168401
2022-08-19,39505.23438,44350,44600,44000,115781
2022-08-22,39549.77344,44400,44650,43550,128833
2022-08-23,40128.76563,45050,45600,44250,200611
2022-08-24,40395.99219,45350,45700,44950,150923
2022-08-25,40395.99219,45350,45700,45100,91116
2022-08-26,40395.99219,45350,45450,44450,151170
2022-08-29,40351.45703,45300,45800,44400,179570
2022-08-30,41553.98438,46650,47300,45550,358359
2022-08-31,41019.52734,46050,46500,45300,261645
